gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
0.00	61.70	97.78	24.14	174.03	215.30	247.75	18.25	17.23	4.70	7.81	6.27	1.39	68.27	87.87	25.51	8.15	3.61	6.97	0.44	3.53	0.19	0.03	0.02	
0.00	34.75	52.15	16.89	64.45	91.73	175.71	9.32	7.76	2.27	7.41	5.65	1.23	34.74	44.03	13.05	5.90	3.51	4.67	0.33	1.94	0.21	0.02	0.01	
0.00	39.47	60.90	28.28	80.31	133.45	232.42	12.45	10.56	1.88	7.34	7.75	1.29	34.06	46.30	11.39	4.75	3.85	2.52	0.40	0.95	0.22	0.03	0.01	
0.00	70.32	129.86	98.68	177.70	295.07	920.85	25.64	33.59	4.32	14.12	23.27	2.83	41.67	69.07	16.68	4.47	4.74	0.53	0.71	0.43	0.35	0.02	0.02	
0.00	80.61	184.44	134.77	217.33	409.35	1202.34	27.51	50.77	5.05	14.49	32.08	3.82	35.03	83.94	11.54	3.64	4.74	0.55	0.79	0.42	0.48	0.02	0.03	
0.00	46.51	97.33	73.52	124.91	215.61	652.78	14.07	28.39	2.71	8.44	18.50	2.37	21.11	41.60	7.74	2.31	3.63	0.43	0.89	0.29	0.32	0.01	0.04	
0.00	51.84	126.27	96.84	159.50	287.28	859.05	18.24	36.56	3.60	10.93	23.88	2.97	19.68	55.07	8.05	2.65	4.15	0.63	0.95	0.35	0.40	0.02	0.04	
0.00	101.46	216.98	165.72	279.51	497.46	1479.03	31.63	62.11	5.57	16.04	41.83	5.20	37.80	94.49	13.79	3.42	4.91	0.73	1.01	0.56	0.76	0.02	0.05	
0.00	90.01	192.33	141.29	229.20	438.48	1281.91	27.50	52.77	4.69	12.52	38.12	5.02	27.89	83.99	9.82	2.69	3.56	0.54	0.69	0.47	0.60	0.02	0.03	
0.00	53.02	104.96	79.23	152.27	253.70	715.22	17.50	30.09	2.67	7.47	21.50	2.83	19.15	46.42	6.74	2.60	2.14	0.39	0.43	0.29	0.34	0.01	0.02	
0.00	83.94	172.13	130.56	219.51	416.23	1177.98	25.95	49.20	4.07	11.66	35.73	4.44	28.26	73.67	9.52	3.32	3.08	0.36	0.64	0.39	0.49	0.01	0.02	
0.00	137.75	274.86	203.70	381.12	633.61	1839.64	38.70	76.79	5.82	19.96	59.79	7.56	39.01	118.76	16.46	5.91	5.60	0.39	1.71	0.53	0.93	0.02	0.06	
